City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Kallithea,37.95,23.7,62.82,66,100,15.99,GR,1636512156
Abu Samrah,35.3029,37.1841,59.34,32,42,4.79,SY,1636512156
Eilat,29.5581,34.9482,67.84,45,0,4.61,IL,1636512157
Senneterre,48.3835,-77.2328,32.22,85,100,4.65,CA,1636512157
Upernavik,72.7868,-56.1549,13.59,84,100,12.8,GL,1636511910
Mount Isa,-20.7333,139.5,94.77,34,75,12.66,AU,1636511887
Kundiawa,-6.0167,144.9667,75.58,72,90,2.53,PG,1636512158
Onega,63.9061,38.1404,29.39,89,100,14.5,RU,1636512159
Las Palmas,28.4204,-14.0131,61.59,72,100,8.05,ES,1636512159
Baiyin,36.5583,104.2081,31.08,23,0,4.36,CN,1636512160
Laguna,38.421,-121.4238,60.64,88,90,1.01,US,1636511885
Meulaboh,4.1363,96.1285,82.65,70,100,1.12,ID,1636511958
Kruisfontein,-34.0033,24.7314,52.83,78,5,4.14,ZA,1636512161
Izumi,34.4833,135.4333,62.35,54,40,19.57,JP,1636512161
Saravan,39.7196,45.6483,25.45,62,9,3.98,AM,1636512162
Bida,9.0833,6.0167,76.82,83,2,2.75,NG,1636512163
Morro Bay,35.3658,-120.8499,63.48,95,87,2.77,US,1636512163
Morgan City,29.6994,-91.2068,60.01,100,1,0.0,US,1636512164
Bukachacha,52.9833,116.9167,29.32,50,3,11.79,RU,1636512164
Camacha,33.0833,-16.3333,63.36,94,75,3.44,PT,1636512164
Amga,60.8953,131.9608,24.03,93,97,3.6,RU,1636512165
Kailua,21.4022,-157.7394,80.58,65,90,4.61,US,1636512165
Tuatapere,-46.1333,167.6833,61.14,73,100,6.06,NZ,1636512021
Timrå,62.487,17.3257,35.67,96,90,3.44,SE,1636512166
Codrington,-38.2667,141.9667,56.89,50,24,15.55,AU,1636511899
Koygorodok,60.445,50.9968,20.68,88,100,8.81,RU,1636512167
Jamame,0.0722,42.7506,75.58,86,15,6.71,SO,1636512037
Cam Ranh,11.9214,109.1591,76.96,94,75,6.91,VN,1636512167
Canutama,-6.5339,-64.3831,74.7,86,23,2.15,BR,1636512168
Turukhansk,65.8167,87.9833,15.01,90,100,9.82,RU,1636512169
Touros,-5.1989,-35.4608,79.7,76,82,10.83,BR,1636512169
Natal,-5.795,-35.2094,80.82,78,75,8.05,BR,1636511808
Aripuanã,-9.1667,-60.6333,72.9,97,90,2.3,BR,1636512170
Kalabo,-14.97,22.6814,76.12,50,83,9.04,ZM,1636512170
Fort Nelson,58.8053,-122.7002,20.79,93,90,3.44,CA,1636511967
Nago,26.5881,127.9761,70.65,53,86,12.24,JP,1636512171
Kirakira,-10.4544,161.9205,86.56,69,7,12.12,SB,1636512172
Cap Malheureux,-19.9842,57.6142,76.46,72,2,3.0,MU,1636512172
Tura,25.5198,90.2201,73.09,63,4,1.25,IN,1636512173
Ikalamavony,-21.15,46.5833,73.18,65,0,3.13,MG,1636512173
Prince Rupert,54.3161,-130.3201,44.29,81,100,2.3,CA,1636512174
Jacareacanga,-6.2222,-57.7528,73.0,99,100,2.57,BR,1636512174
Salym,60.0625,71.4789,34.27,98,100,8.01,RU,1636512175
Cheb,50.0796,12.3739,39.56,94,89,4.25,CZ,1636511998
Ostrovnoy,68.0531,39.5131,27.54,85,100,23.17,RU,1636511973
Melilla,35.2937,-2.9383,52.18,87,0,2.3,ES,1636512036
Anadyr,64.75,177.4833,23.5,86,75,4.47,RU,1636511999
Sojat,25.9167,73.6667,76.32,24,13,3.27,IN,1636512176
Yaring,6.8662,101.3689,75.24,92,100,10.09,TH,1636512177
Lashio,22.9333,97.75,74.3,73,44,1.01,MM,1636512177
Novo Aripuanã,-5.1206,-60.3797,73.78,96,100,3.22,BR,1636512178
Southbridge,42.0751,-72.0334,56.98,81,56,3.18,US,1636512178
Abhā,18.2164,42.5053,51.62,43,0,0.0,SA,1636511985
Tilichiki,60.4667,166.1,10.26,92,8,5.93,RU,1636512179
Arkhipo-Osipovka,44.37,38.52,43.54,89,100,19.82,RU,1636512179
The Valley,18.217,-63.0578,81.1,71,13,13.73,AI,1636512162
Shimsk,58.212,30.7127,31.75,64,72,12.5,RU,1636512180
Khanpur,28.6453,70.6567,76.37,19,2,8.59,PK,1636512181
Half Moon Bay,37.4636,-122.4286,61.92,91,90,4.61,US,1636512181
Waipawa,-41.4122,175.5153,65.03,46,4,5.68,NZ,1636511876
Manoel Urbano,-8.8389,-69.2597,72.45,99,100,1.61,BR,1636512183
Madison,34.7334,-86.5667,59.5,82,1,0.0,US,1636512035
Port-Gentil,-0.7193,8.7815,77.77,88,100,7.74,GA,1636512184
Lata,40.1629,-8.3327,53.04,66,0,3.67,PT,1636512184
Havre-St-Pierre,50.2334,-63.5986,44.6,70,1,18.41,CA,1636512185
Cherskiy,68.75,161.3,-3.84,100,88,5.61,RU,1636512185
Baharly,38.4362,57.4316,47.34,32,0,7.25,TM,1636512186
Oistins,13.0667,-59.5333,80.69,69,20,13.8,BB,1636511703
Mutsu,41.2894,141.2169,60.01,62,20,13.82,JP,1636511954
Ordu,40.9086,37.6845,46.9,96,100,10.47,TR,1636512187
Rocha,-34.4833,-54.3333,52.7,93,21,2.66,UY,1636512008
Svetlaya,46.5389,138.3297,47.39,71,100,4.14,RU,1636512019
Zdvinsk,54.7021,78.661,31.68,71,78,16.42,RU,1636512187
Puerto Carreño,6.189,-67.4859,78.4,68,100,4.7,CO,1636511879
Nurota,40.5614,65.6886,30.29,63,100,2.26,UZ,1636512189
Linköping,58.4109,15.6216,51.78,90,90,11.5,SE,1636512189
Safi,32.2994,-9.2372,59.13,74,0,7.45,MA,1636512190
Poso,-1.3959,120.7524,86.43,67,64,5.19,ID,1636511985
Port Augusta,-32.5,137.7667,72.72,44,98,22.17,AU,1636512191
Holiday,28.1878,-82.7395,69.98,81,95,1.01,US,1636512056
Dingle,10.9995,122.6711,84.02,78,100,10.45,PH,1636511937
Potsdam,52.3989,13.0657,43.48,91,4,4.52,DE,1636512192
Qaqortoq,60.7167,-46.0333,16.3,77,0,4.9,GL,1636512192
Tabou,4.423,-7.3528,77.27,89,32,5.3,CI,1636512193
Baft,29.234,56.6057,42.73,70,2,1.86,IR,1636512193
Manta,-0.95,-80.7333,71.38,83,90,10.36,EC,1636512194
Forsytheganj,52.6333,29.7333,27.01,71,56,4.36,BY,1636512194
Chicama,-7.8447,-79.1469,65.19,80,92,6.06,PE,1636512195
Kondinskoye,59.6481,67.41,33.98,98,100,7.72,RU,1636512195
Hesla,24.0667,85.8833,70.68,56,48,3.76,IN,1636512195
Tataouine,32.9297,10.4518,52.68,50,0,7.85,TN,1636512196
Wanxian,30.8039,108.3897,56.41,63,0,1.54,CN,1636512196
Yar-Sale,66.8333,70.8333,5.43,97,76,8.43,RU,1636512197
Constitución,-35.3333,-72.4167,50.63,90,28,6.38,CL,1636512198
Camaçari,-12.6975,-38.3242,78.57,93,29,4.47,BR,1636512198
Edd,13.9297,41.6925,83.21,42,11,10.65,ER,1636512199
Hong Kong,22.2855,114.1577,73.04,41,38,1.01,HK,1636512099
Imuris,30.7833,-110.8667,62.76,28,0,4.09,MX,1636512199
Vestmannaeyjar,63.4427,-20.2734,40.73,72,100,22.55,IS,1636511964
Salalah,17.0151,54.0924,80.69,44,0,6.91,OM,1636512024
Port Hardy,50.6996,-127.4199,46.4,81,75,10.36,CA,1636512200
Bathsheba,13.2167,-59.5167,81.21,69,20,13.8,BB,1636512201
Havøysund,70.9963,24.6622,29.28,82,74,9.1,NO,1636512018
Nazrēt,8.55,39.2667,56.17,74,51,6.24,ET,1636512202
Pio IX,-6.8375,-40.5792,77.88,48,94,3.69,BR,1636512202
Tineo,43.3376,-6.4145,45.57,92,12,2.82,ES,1636512203
Bobo-Dioulasso,11.1771,-4.2979,81.05,69,0,9.22,BF,1636512203
Kibala,9.1104,18.3463,75.15,88,0,0.0,TD,1636512204
Huangpu,25.4433,113.1747,61.27,46,0,3.53,CN,1636512204
Pecos,31.4229,-103.4932,73.31,32,1,4.61,US,1636512205
Fare,-16.7,-151.0167,79.63,74,9,12.88,PF,1636512205
Chipinge,-20.1883,32.6236,63.32,95,92,5.79,ZW,1636512206
Saint-Augustin,51.226,-58.6502,40.08,79,41,13.09,CA,1636512206
Henties Bay,-22.116,14.2845,54.86,91,0,3.36,NA,1636512207
Tanete,-3.9443,119.7848,89.69,62,99,3.69,ID,1636512207
Sri Aman,1.2376,111.4621,78.85,94,40,2.3,MY,1636511958
Vanimo,-2.6741,141.3028,87.66,66,83,10.51,PG,1636511926
Whyalla,-33.0333,137.5833,62.49,67,40,17.27,AU,1636512209
San Jose,37.3394,-121.895,61.88,83,40,1.01,US,1636512057
Hammerfest,70.6634,23.6821,28.85,74,75,2.3,NO,1636512209
Mossamedes,-15.1961,12.1522,68.07,83,64,2.19,AO,1636511971
Santa Vitória do Palmar,-33.5189,-53.3681,58.24,81,3,6.44,BR,1636512210
Seaford,50.7714,0.1027,57.09,86,77,5.01,GB,1636512211
Sinnamary,5.3833,-52.95,76.46,89,100,5.26,GF,1636511956
Beloha,-25.1667,45.05,73.06,74,0,2.17,MG,1636512212
La Ronge,55.1001,-105.2842,26.85,80,75,5.75,CA,1636512212
Cidreira,-30.1811,-50.2056,63.03,76,7,5.23,BR,1636511965
Chennai,13.0878,80.2785,75.18,95,90,8.01,IN,1636512133
Goderich,43.7501,-81.7165,48.9,93,100,1.14,CA,1636512213
Zanesville,39.9404,-82.0132,61.36,64,1,0.0,US,1636512092
Freeport,40.6576,-73.5832,62.58,68,1,4.61,US,1636512138
Borba,-4.3878,-59.5939,73.02,99,100,2.48,BR,1636512214
Najrān,17.4924,44.1277,56.05,34,53,0.74,SA,1636512215
Kashgar,39.4547,75.9797,29.41,59,40,8.95,CN,1636512216
Acapulco de Juárez,16.8634,-99.8901,82.22,83,20,5.75,MX,1636511855
Benghazi,32.1167,20.0667,71.37,62,100,18.32,LY,1636511928
Mosquera,4.7059,-74.2302,55.49,100,75,4.61,CO,1636512217
Omboué,-1.5746,9.2618,73.87,96,100,5.73,GA,1636512217
Marawi,7.9986,124.2928,74.64,70,82,5.28,PH,1636512023
Wewak,-3.5534,143.6268,87.06,66,8,8.03,PG,1636512218
Waconia,44.8508,-93.7869,46.4,61,65,5.23,US,1636512219
Yulara,-25.2406,130.9889,80.44,69,75,14.97,AU,1636511826
Marsá Maţrūḩ,31.3525,27.2453,61.0,94,100,0.0,EG,1636512219
Juba,4.8517,31.5825,72.01,83,37,1.41,SS,1636512144
Pomabamba,-8.8333,-77.4667,53.31,74,100,3.69,PE,1636512220
Porto-Novo,6.4965,2.6036,82.22,89,89,3.89,BJ,1636511973
Los Llanos de Aridane,28.6585,-17.9182,65.95,79,90,1.99,ES,1636512221
Kalofer,42.6167,24.9833,38.28,87,31,1.52,BG,1636512221
Ayapel,8.3137,-75.1398,74.25,97,100,5.14,CO,1636512222
Saint-Pierre,-21.3393,55.4781,74.28,65,0,5.75,RE,1636511979
Sayyan,15.1718,44.3244,48.65,41,82,6.67,YE,1636512223
La Asuncion,11.0333,-63.8628,67.73,100,7,10.36,VE,1636512223
Safaga,26.7292,33.9365,71.55,35,0,9.93,EG,1636512223
Rio Grande,-32.035,-52.0986,61.95,72,1,10.92,BR,1636511943
Jaru,-10.4389,-62.4664,73.94,93,100,2.64,BR,1636512184
Fortuna,40.5982,-124.1573,53.65,65,75,0.0,US,1636511839
Laas,46.6166,10.7002,40.08,72,100,2.73,IT,1636511949
Arāmbāgh,22.8833,87.7833,74.44,60,10,6.64,IN,1636512225
Harper,4.375,-7.7169,77.67,87,39,6.24,LR,1636512226
Grants Pass,42.439,-123.3284,53.11,81,90,0.0,US,1636512226
Lahad Datu,5.0268,118.327,85.71,67,99,1.86,MY,1636512227
Vostok,46.4856,135.8833,30.56,88,100,3.71,RU,1636512227
Liwale,-9.7667,37.9333,72.34,79,100,6.67,TZ,1636512227
Vizinga,61.0749,50.1031,20.93,85,7,7.29,RU,1636512228
Ovalle,-30.5983,-71.2003,61.07,70,0,2.73,CL,1636512228
Dzilam González,21.2833,-88.9333,67.75,71,30,4.43,MX,1636512003
Maţāy,28.419,30.7792,68.0,45,96,8.95,EG,1636512229
Usukhchay,41.4225,47.9132,34.61,33,73,7.25,RU,1636512229
Rome,43.2128,-75.4557,52.84,93,75,0.0,US,1636511973
Kargopol',61.5071,38.9456,27.28,74,100,10.04,RU,1636512230
Iranshahr,27.2025,60.6848,55.74,35,0,4.61,IR,1636512231
Asău,46.4333,26.4,37.96,67,90,1.74,RO,1636512231
Benguela,-12.5763,13.4055,76.91,82,94,4.65,AO,1636511911
São João da Barra,-21.6403,-41.0511,70.34,91,100,4.59,BR,1636512232
Moose Factory,51.2585,-80.6094,39.2,75,90,11.5,CA,1636512232
Ciudad Bolivar,8.1222,-63.5497,78.71,70,100,10.74,VE,1636512233
Haines Junction,60.7522,-137.5108,13.95,85,100,0.0,CA,1636512233
Mugur-Aksy,50.35,90.5,20.57,69,37,4.47,RU,1636512234
Niquero,20.0431,-77.5828,75.85,84,90,16.31,CU,1636512235
Sokolo,14.7328,-6.1219,79.09,21,30,10.33,ML,1636512235
Worland,44.0169,-107.9554,56.68,55,90,1.01,US,1636512235
Jasper,37.2001,-94.3502,63.36,78,90,3.44,US,1636512236
Guadalupe,25.6833,-100.25,76.14,82,100,3.56,MX,1636512236
Viranşehir,37.2353,39.7631,56.1,36,26,2.35,TR,1636512237
Margate,51.3813,1.3862,54.3,94,27,10.87,GB,1636512237
Oranjemund,-28.55,16.4333,58.55,87,0,9.73,NA,1636512238
Te Anau,-45.4167,167.7167,63.18,60,100,3.76,NZ,1636512040
Ippy,6.2679,21.2247,70.59,82,91,1.86,CF,1636512239
Miyako,39.6367,141.9525,60.35,58,85,5.06,JP,1636512239
Zhezkazgan,47.8043,67.7144,30.61,51,9,8.93,KZ,1636512239
Olinda,-8.0089,-34.8553,80.33,78,40,5.75,BR,1636511959
Hāgere Selam,6.4833,38.5167,48.11,98,100,3.29,ET,1636512240
Nālūt,30.3333,10.85,57.25,50,38,7.49,LY,1636512241
Slantsy,59.1182,28.0914,34.81,84,96,14.2,RU,1636512241
Umm Kaddadah,13.6017,26.6876,77.58,21,5,5.66,SD,1636512242
Oyama,36.3,139.8,71.04,31,72,8.77,JP,1636512243
Flinders,-34.5833,150.8552,71.19,90,100,1.01,AU,1636512029
Taoudenni,22.6783,-3.9836,64.0,18,99,9.19,ML,1636512243
Baculin,7.4525,126.5842,84.96,74,86,8.16,PH,1636512244
Adelanto,34.5828,-117.4092,62.91,60,30,17.98,US,1636512244
Klaksvík,62.2266,-6.589,43.72,73,11,40.73,FO,1636511998
Maniitsoq,65.4167,-52.9,16.3,70,68,5.26,GL,1636511884
Mildura,-34.2,142.15,65.07,59,40,13.8,AU,1636512245
Houma,29.5958,-90.7195,61.0,92,100,1.01,US,1636512246
Tarutyne,46.1858,29.1506,32.41,58,2,9.44,UA,1636512246
Rosarito,32.3333,-117.0333,63.09,71,6,11.16,MX,1636512247
Mpulungu,-8.7623,31.1141,77.76,53,11,4.83,ZM,1636512247
Kalmunai,7.4167,81.8167,77.18,89,100,13.0,LK,1636512248
La Libertad,-2.2333,-80.9,69.46,88,90,8.05,EC,1636512248
Hobyo,5.3505,48.5268,79.45,71,72,8.81,SO,1636512249
Zyryanka,65.75,150.85,-4.29,86,6,10.42,RU,1636512249
Hare Bay,48.8499,-54.0148,45.75,77,83,10.4,CA,1636512250
Kapoeta,4.7717,33.5903,78.89,52,26,10.69,SS,1636512250
Leh,34.1667,77.5833,21.29,46,0,1.57,IN,1636512250
Nome,64.5011,-165.4064,12.27,67,90,9.22,US,1636512251
Isangel,-19.55,169.2667,79.92,75,99,5.48,VU,1636512016
Gizo Government Station,-8.103,156.8419,86.4,65,37,3.8,SB,1636512252
Aksu,41.1231,80.2644,32.9,25,26,2.26,CN,1636512252
Tupelo,34.2576,-88.7034,57.49,84,1,0.0,US,1636512253
Pánuco,22.05,-98.1667,79.03,82,46,7.23,MX,1636512253
Tabuk,17.4189,121.4443,83.91,68,82,2.95,PH,1636512254
Seoul,37.5683,126.9778,44.04,63,40,6.91,KR,1636512254
Caravelas,-17.7125,-39.2481,73.6,91,100,2.24,BR,1636512255
Gonbad-e Kāvūs,37.25,55.1672,45.55,39,0,5.37,IR,1636512255
Podolínec,49.2587,20.536,38.91,93,11,7.49,SK,1636512255
Nizwá,22.9333,57.5333,71.44,35,0,2.46,OM,1636512075
Flic en Flac,-20.2742,57.3631,76.51,72,1,8.23,MU,1636512256
Verkhnevilyuysk,63.4453,120.3167,14.4,87,95,10.25,RU,1636511978
Noumea,-22.2763,166.4572,85.98,99,95,11.39,NC,1636512257
Chernoistochinsk,57.7364,59.8719,26.01,87,99,9.37,RU,1636512258
General Cepeda,25.3833,-101.45,60.21,62,100,2.35,MX,1636512258
Lloydminster,53.2835,-110.0016,35.28,55,90,21.85,CA,1636512259
Borovoy,55.4333,86.0833,25.88,63,0,8.95,RU,1636512259
Juru,5.312,100.4423,82.35,85,40,2.3,MY,1636512260
Jumla,29.2747,82.1838,56.39,22,0,1.48,NP,1636512260
Dwārka,22.2394,68.9678,80.44,50,100,8.79,IN,1636512261
Bosaso,11.2842,49.1816,77.29,78,11,3.24,SO,1636512261
Viedma,-40.8135,-62.9967,50.31,72,8,12.82,AR,1636512126
Springdale,36.1867,-94.1288,62.82,88,90,3.0,US,1636512262
Bāgeshwar,29.85,79.7667,59.5,49,4,0.36,IN,1636512263
Tocopilla,-22.092,-70.1979,63.77,69,15,2.84,CL,1636512263
Asunción Nochixtlán,17.4667,-97.2333,50.07,94,97,5.86,MX,1636512263
Makat,47.6469,53.3463,50.2,80,100,11.05,KZ,1636512264
Māngrol,21.1167,70.1167,77.34,38,100,12.17,IN,1636512265
Mujiayingzi,42.1167,118.7833,36.81,61,10,16.8,CN,1636512265
San Carlos,9.6612,-68.5827,74.08,80,100,3.62,VE,1636512266
Deputatsky,69.3,139.9,0.14,93,100,1.9,RU,1636511918
Puerto Cabezas,14.0351,-83.3888,73.04,84,99,9.57,NI,1636512266
Monrovia,6.3005,-10.7969,76.77,86,100,4.38,LR,1636512254
Scarborough,54.2797,-0.4044,54.54,87,100,1.01,GB,1636512181
Khani,41.9563,42.9566,44.17,79,100,2.55,GE,1636512268
Byron Bay,-28.65,153.6167,84.31,80,81,12.5,AU,1636512072
Peace River,56.2501,-117.286,30.51,86,90,8.05,CA,1636512268
Amahai,-3.3333,128.9167,87.58,63,35,5.55,ID,1636512269
Shangqiu,34.45,115.65,52.97,41,0,7.16,CN,1636512269
Serov,59.6033,60.5787,23.22,91,100,10.49,RU,1636512270
Hokitika,-42.7167,170.9667,63.18,70,100,6.29,NZ,1636512084
Rocky Mountain House,52.3668,-114.9188,37.15,64,100,9.22,CA,1636512160
Pingliang,35.5392,106.6861,41.09,16,0,6.67,CN,1636512271
São Miguel do Araguaia,-13.275,-50.1628,72.27,97,100,4.0,BR,1636512271
Kiruna,67.8557,20.2251,22.12,93,43,12.66,SE,1636512272
Chokwé,-24.5333,32.9833,70.03,67,99,10.29,MZ,1636512272
Toora-Khem,52.4675,96.11,15.69,75,66,2.26,RU,1636512273
Okhotsk,59.3833,143.3,12.38,69,97,9.89,RU,1636512026
Carballo,43.213,-8.691,52.75,90,6,2.86,ES,1636512274
Cartagena del Chairá,1.3349,-74.8429,71.83,95,79,3.0,CO,1636512274
Huarmey,-10.0681,-78.1522,64.42,86,88,9.06,PE,1636512275
Sola,-13.8833,167.55,81.79,76,15,16.46,VU,1636511833
Sept-Îles,50.2001,-66.3821,39.72,56,1,8.05,CA,1636512275
Leonidovo,49.2833,142.8667,43.66,98,100,16.67,RU,1636512276
Azul,-36.777,-59.8585,57.34,68,65,10.09,AR,1636512276
Mananara,-16.1667,49.7667,75.81,86,77,2.62,MG,1636512277
Canyon,34.9803,-101.9188,58.05,66,100,10.33,US,1636512278
Mehamn,71.0357,27.8492,23.58,90,87,8.23,NO,1636512278
Dubrovnik,42.6481,18.0922,64.04,48,0,12.66,HR,1636512279
Mandalgovi,45.7625,106.2708,29.84,42,26,7.52,MN,1636512146
São Gabriel da Cachoeira,-0.1303,-67.0892,73.15,99,100,2.19,BR,1636512279
Turbat,26.0023,63.044,72.07,28,0,12.3,PK,1636512280
Nānākuli,21.3906,-158.1547,80.55,61,90,0.0,US,1636512280
